#{"t_start": 1772767812.3438518, "env_id": "marinenav_env-v0"}
r,l,t,is_success
106.955305,25,86.913797,True
94.009665,52,87.039351,True
-39.067354,24,87.097807,False
104.503394,29,87.163375,True
-47.78881,15,87.200326,False
103.345986,27,87.264845,True
106.542523,41,87.357919,True
-48.224164,9,87.381918,False
86.211961,49,87.492501,True
116.325223,30,87.577337,True
111.935934,24,87.639348,True
115.114378,23,87.694746,True
106.782691,25,87.756984,True
-43.886187,12,87.790446,False
-53.792533,19,87.837652,False
109.812984,22,87.890702,True
114.679365,24,87.947221,True
107.400832,31,88.023228,True
108.591733,30,88.097731,True
99.684102,34,88.176741,True
101.375622,29,88.24629,True
108.652217,25,88.318264,True
108.312677,22,88.374481,True
-62.467928,41,88.475017,False
101.406014,36,88.56053,True
-74.374973,48,88.683056,False
-47.326661,16,88.724056,False
-57.652832,24,88.785674,False
101.933482,34,88.86716,True
91.962912,44,88.981682,True
104.538983,28,89.052208,True
103.006002,36,89.140213,True
100.902967,32,89.240257,True
-57.348134,24,89.325775,False
-52.189133,11,89.364296,False
106.526469,24,89.432312,True
-49.021998,29,89.513929,False
-43.839845,14,89.556158,False
105.384949,27,89.634205,True
-49.293025,13,89.669774,False
90.752687,40,89.771332,True
107.18261,33,89.855535,True
-48.086049,25,89.920484,False
-60.190362,17,89.972269,False
93.665996,41,90.077005,True
93.682199,35,90.176547,True
-49.290322,20,90.228531,False
102.400271,29,90.302078,True
110.934605,26,90.366598,True
111.848674,21,90.420604,True
102.855992,36,90.511974,True
-56.731405,23,90.572448,False
-52.171282,19,90.622443,False
-43.345298,13,90.66052,False
103.838334,38,90.762052,True
-46.169575,26,90.832048,False
95.941559,43,90.937566,True
108.351366,20,90.997078,True
-52.515507,20,91.058168,False
91.783039,47,91.178593,True
-47.390207,13,91.215602,False
-52.086394,14,91.257118,False
110.707586,20,91.312117,True
-43.042343,16,91.354633,False
-40.748608,16,91.396638,False
115.048522,30,91.473171,True
-58.461028,18,91.520175,False
97.560436,31,91.598752,True
-51.15715,20,91.650572,False
107.181107,31,91.743587,True
108.946961,23,91.80267,True
-49.621678,10,91.829668,False
-50.930777,11,91.859192,False
94.714095,35,94.09439,True
-48.542088,16,94.168427,False
107.669152,24,94.269953,True
